Year,Lg,Team,W,L,Winpct
2017,NBA,BOS,55,27,0.671
2017,NBA,TOR,59,23,0.72
2017,NBA,NYK,29,53,0.354
2017,NBA,PHI,52,30,0.634
2017,NBA,CHA,28,54,0.341
2017,NBA,MIN,47,35,0.573
2017,NBA,OKC,48,34,0.585
2017,NBA,DEN,46,36,0.561
2017,NBA,POR,49,33,0.598
2017,NBA,UTA,48,34,0.585
2017,NBA,CLE,55,32,0.632
2017,NBA,DET,39,43,0.476
2017,NBA,MIL,44,38,0.537
2017,NBA,IND,48,34,0.585
2017,NBA,CHI,27,55,0.329
2017,NBA,GSW,58,24,0.707
2017,NBA,LAC,42,40,0.512
2017,NBA,PHX,21,61,0.256
2017,NBA,SAC,27,55,0.329
2017,NBA,LAL,35,47,0.427
2017,NBA,WAS,43,39,0.524
2017,NBA,MIA,44,38,0.537
2017,NBA,CHO,36,46,0.439
2017,NBA,ORL,25,57,0.305
2017,NBA,ATL,24,58,0.293
2017,NBA,HOU,65,17,0.793
2017,NBA,SAS,47,35,0.573
2017,NBA,NLP,48,34,0.585
2017,NBA,DAL,24,58,0.293
2017,NBA,MEM,22,60,0.268
2016,NBA,BOS,53,29,0.646
2016,NBA,TOR,51,31,0.622
2016,NBA,NYK,31,51,0.378
2016,NBA,PHI,28,54,0.341
2016,NBA,BRK,20,62,0.244
2016,NBA,MIN,31,51,0.378
2016,NBA,OKC,47,35,0.573
2016,NBA,DEN,40,42,0.488
2016,NBA,POR,41,41,0.5
2016,NBA,UTA,51,31,0.622
2016,NBA,CLE,51,31,0.622
2016,NBA,DET,37,45,0.451
2016,NBA,MIL,42,40,0.512
2016,NBA,IND,42,40,0.512
2016,NBA,CHI,41,41,0.5
2016,NBA,GSW,67,15,0.817
2016,NBA,LAC,51,31,0.622
2016,NBA,PHX,24,58,0.293
2016,NBA,SAC,32,50,0.39
2016,NBA,LAL,26,56,0.317
2016,NBA,WAS,49,33,0.598
2016,NBA,MIA,41,41,0.5
2016,NBA,CHO,36,46,0.439
2016,NBA,ORL,29,53,0.354
2016,NBA,ATL,43,39,0.524
2016,NBA,HOU,55,27,0.671
2016,NBA,SAS,61,21,0.744
2016,NBA,NLP,34,48,0.415
2016,NBA,DAL,33,49,0.402
2016,NBA,MEM,43,39,0.524
2015,NBA,BOS,48,34,0.585
2015,NBA,TOR,56,26,0.683
2015,NBA,NYK,32,50,0.39
2015,NBA,PHI,10,72,0.122
2015,NBA,BRK,21,61,0.256
2015,NBA,MIN,29,53,0.354
2015,NBA,OKC,55,27,0.671
2015,NBA,DEN,33,49,0.402
2015,NBA,POR,44,38,0.537
2015,NBA,UTA,40,42,0.488
2015,NBA,CLE,57,25,0.695
2015,NBA,DET,44,38,0.537
2015,NBA,MIL,33,49,0.402
2015,NBA,IND,45,37,0.549
2015,NBA,CHI,42,40,0.512
2015,NBA,GSW,73,9,0.89
2015,NBA,LAC,53,29,0.646
2015,NBA,PHX,23,59,0.28
2015,NBA,SAC,33,49,0.402
2015,NBA,LAL,17,65,0.207
2015,NBA,WAS,41,41,0.5
2015,NBA,MIA,48,34,0.585
2015,NBA,CHO,48,34,0.585
2015,NBA,ORL,35,47,0.427
2015,NBA,ATL,48,34,0.585
2015,NBA,HOU,41,41,0.5
2015,NBA,SAS,67,15,0.817
2015,NBA,NLP,30,52,0.366
2015,NBA,DAL,42,40,0.512
2015,NBA,MEM,42,40,0.512
2014,NBA,BOS,40,42,0.488
2014,NBA,TOR,49,33,0.598
2014,NBA,NYK,17,65,0.207
2014,NBA,PHI,18,64,0.22
2014,NBA,BRK,38,44,0.463
2014,NBA,MIN,16,66,0.195
2014,NBA,OKC,45,37,0.549
2014,NBA,DEN,30,52,0.366
2014,NBA,POR,51,31,0.622
2014,NBA,UTA,38,44,0.463
2014,NBA,CLE,53,29,0.646
2014,NBA,DET,32,50,0.39
2014,NBA,MIL,41,41,0.5
2014,NBA,IND,38,44,0.463
2014,NBA,CHI,50,32,0.61
2014,NBA,GSW,67,15,0.817
2014,NBA,LAC,56,26,0.683
2014,NBA,PHX,39,43,0.476
2014,NBA,SAC,29,53,0.354
2014,NBA,LAL,21,61,0.256
2014,NBA,WAS,46,36,0.561
2014,NBA,MIA,37,45,0.451
2014,NBA,CHA,33,49,0.402
2014,NBA,ORL,25,57,0.305
2014,NBA,ATL,60,22,0.732
2014,NBA,HOU,56,26,0.683
2014,NBA,SAS,55,27,0.671
2014,NBA,NLP,45,37,0.549
2014,NBA,DAL,50,32,0.61
2014,NBA,MEM,55,27,0.671
2013,NBA,BOS,25,57,0.305
2013,NBA,TOR,48,34,0.585
2013,NBA,NYK,37,45,0.451
2013,NBA,PHI,19,63,0.232
2013,NBA,BRK,44,38,0.537
2013,NBA,MIN,40,42,0.488
2013,NBA,OKC,59,23,0.72
2013,NBA,DEN,36,46,0.439
